<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.11,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,50.50 ± 1.18 / 65.35 ± 0.82,53.76 ± 1.70 / 49.55 ± 1.39,35.50 ± 3.27 / 67.11 ± 1.74,38.61 ± 0.99 / 27.46 ± 0.84,73.24 ± 1.37 / 79.88 ± 1.03,61.81 ± 1.78 / 82.42 ± 0.86,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.15,?,100256.0,272000.0,✓,✗,✗,✓,47.84 ± 2.39 / 63.74 ± 1.56,75.39 ± 1.47 / 64.93 ± 2.16,37.35 ± 2.25 / 67.21 ± 1.09,59.04 ± 1.10 / 38.19 ± 1.92,66.49 ± 2.19 / 74.84 ± 1.67,17.83 ± 5.03 / 61.56 ± 2.19,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.19,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,44.36 ± 0.94 / 62.73 ± 0.69,74.20 ± 0.99 / 66.59 ± 1.40,17.13 ± 1.93 / 48.09 ± 1.90,68.17 ± 1.30 / 50.31 ± 1.28,62.05 ± 0.84 / 71.52 ± 0.63,40.55 ± 1.69 / 70.20 ± 0.85,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.20,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,54.21 ± 1.28 / 66.59 ± 1.11,51.48 ± 1.37 / 33.91 ± 1.47,41.85 ± 2.12 / 70.49 ± 1.21,66.88 ± 1.49 / 50.36 ± 1.40,56.34 ± 0.97 / 67.34 ± 0.77,27.51 ± 2.24 / 63.12 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.21,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,53.90 ± 1.66 / 65.40 ± 1.15,62.65 ± 1.58 / 57.40 ± 1.42,28.95 ± 2.38 / 62.69 ± 1.56,68.51 ± 1.35 / 50.31 ± 1.49,57.72 ± 1.10 / 68.16 ± 0.89,26.59 ± 2.91 / 62.97 ± 1.44,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.22,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,54.37 ± 0.95 / 63.51 ± 1.15,56.06 ± 2.07 / 44.31 ± 1.85,38.16 ± 1.65 / 67.08 ± 1.25,72.64 ± 0.94 / 56.84 ± 0.90,53.48 ± 1.09 / 65.27 ± 0.95,22.04 ± 2.68 / 61.48 ± 1.37,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.22,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,51.09 ± 1.00 / 66.29 ± 0.61,65.65 ± 1.47 / 50.36 ± 1.79,41.76 ± 1.92 / 70.35 ± 1.01,16.77 ± 1.70 / 0.44 ± 0.21,66.67 ± 0.92 / 74.82 ± 0.69,47.88 ± 1.86 / 73.92 ± 0.95,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.23,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,45.80 ± 1.41 / 63.83 ± 0.98,65.23 ± 1.16 / 58.57 ± 1.01,29.51 ± 1.79 / 62.94 ± 0.93,57.81 ± 0.53 / 35.01 ± 0.98,65.78 ± 1.00 / 74.25 ± 0.75,33.12 ± 2.35 / 66.56 ± 1.17,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.24,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,50.97 ± 1.18 / 67.11 ± 0.76,65.27 ± 1.67 / 50.20 ± 1.45,41.34 ± 2.61 / 68.70 ± 2.32,18.74 ± 2.15 / 4.01 ± 1.51,61.88 ± 0.40 / 71.27 ± 0.28,46.96 ± 2.49 / 73.28 ± 1.25,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.24,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,49.09 ± 1.28 / 65.83 ± 0.73,56.84 ± 1.39 / 39.79 ± 1.74,37.57 ± 0.96 / 65.85 ± 0.89,72.27 ± 1.07 / 50.52 ± 1.87,51.46 ± 1.08 / 63.42 ± 0.81,28.99 ± 1.71 / 64.06 ± 0.86,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.25,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,48.62 ± 0.94 / 64.19 ± 0.45,66.37 ± 1.97 / 49.23 ± 1.70,41.56 ± 2.00 / 70.54 ± 1.12,28.64 ± 0.73 / 0.07 ± 0.07,63.05 ± 0.84 / 72.20 ± 0.63,42.02 ± 1.40 / 71.00 ± 0.69,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.27,?,?,1047576.0,✓,✗,✗,✓,53.77 ± 2.34 / 67.67 ± 1.73,45.08 ± 2.36 / 27.40 ± 1.12,42.06 ± 2.22 / 69.20 ± 1.47,57.34 ± 1.11 / 30.79 ± 1.68,66.59 ± 1.84 / 74.18 ± 1.57,28.77 ± 6.06 / 64.53 ± 2.82,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.27,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,50.13 ± 1.84 / 65.35 ± 1.38,76.38 ± 0.94 / 71.06 ± 1.08,20.39 ± 1.42 / 46.65 ± 1.34,51.85 ± 0.57 / 32.81 ± 0.93,60.35 ± 1.68 / 70.59 ± 1.23,29.41 ± 3.57 / 64.30 ± 1.66,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.28,?,?,200000.0,✓,✗,✗,✓,52.86 ± 2.85 / 66.86 ± 1.85,53.00 ± 2.15 / 38.40 ± 2.10,23.59 ± 3.15 / 57.22 ± 1.61,58.83 ± 1.27 / 30.62 ± 1.35,62.59 ± 1.96 / 71.64 ± 1.57,39.03 ± 6.10 / 68.75 ± 3.10,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.30,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,50.65 ± 1.44 / 66.84 ± 0.92,61.17 ± 2.05 / 45.96 ± 1.73,39.12 ± 1.24 / 69.03 ± 0.82,27.62 ± 1.43 / 2.22 ± 1.28,63.73 ± 0.34 / 72.58 ± 0.26,43.01 ± 1.71 / 71.52 ± 0.85,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.31,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,56.34 ± 1.38 / 68.36 ± 1.09,55.42 ± 1.90 / 38.51 ± 2.19,33.94 ± 1.82 / 66.14 ± 1.06,62.41 ± 1.05 / 45.63 ± 1.24,52.83 ± 1.34 / 64.06 ± 1.07,20.86 ± 2.24 / 63.28 ± 1.01,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.32,?,256128.0,1048576.0,✓,✗,✗,✓,51.52 ± 2.66 / 65.93 ± 1.82,43.82 ± 1.61 / 23.78 ± 1.34,36.49 ± 2.59 / 60.98 ± 1.74,57.00 ± 1.85 / 35.98 ± 2.28,67.29 ± 1.03 / 75.00 ± 0.91,27.26 ± 4.31 / 64.53 ± 2.02,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.32,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,53.28 ± 1.63 / 56.10 ± 1.28,60.38 ± 2.32 / 56.72 ± 2.08,30.68 ± 2.35 / 62.74 ± 2.40,64.62 ± 1.34 / 48.39 ± 1.60,52.31 ± 1.38 / 63.20 ± 1.07,19.98 ± 4.01 / 62.73 ± 1.98,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,2.34,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,50.21 ± 1.13 / 65.02 ± 0.84,65.07 ± 1.24 / 48.96 ± 1.63,34.66 ± 3.06 / 64.33 ± 3.06,19.13 ± 2.34 / 2.01 ± 1.48,65.08 ± 1.16 / 73.66 ± 0.86,42.65 ± 1.66 / 71.30 ± 0.82,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.36,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,51.54 ± 1.36 / 67.30 ± 0.96,56.15 ± 1.40 / 43.39 ± 1.65,51.89 ± 1.44 / 75.59 ± 0.82,27.85 ± 1.39 / 0.22 ± 0.14,46.29 ± 0.59 / 59.60 ± 0.45,40.55 ± 1.64 / 69.88 ± 0.90,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.38,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,46.83 ± 1.13 / 62.45 ± 1.47,58.02 ± 1.11 / 52.47 ± 1.40,26.74 ± 1.38 / 55.88 ± 2.50,70.68 ± 2.08 / 54.07 ± 2.27,50.03 ± 1.04 / 62.17 ± 0.80,26.27 ± 3.04 / 61.98 ± 1.75,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0'>INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0</a>,📝,2.38,12187325040.0,262144.0,8192.0,✗,✗,(✓),✗,50.95 ± 1.18 / 66.76 ± 0.86,59.12 ± 1.81 / 36.18 ± 1.64,47.12 ± 1.85 / 72.73 ± 0.94,19.97 ± 1.01 / 0.00 ± 0.00,53.93 ± 0.73 / 65.32 ± 0.54,38.43 ± 2.06 / 69.20 ± 1.05,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.40,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,49.97 ± 1.14 / 65.00 ± 0.81,59.92 ± 1.37 / 53.83 ± 1.49,20.58 ± 2.60 / 59.60 ± 1.21,63.85 ± 0.92 / 38.19 ± 1.17,42.89 ± 1.97 / 56.91 ± 1.45,30.12 ± 3.27 / 64.53 ± 1.46,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.41,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,54.25 ± 1.55 / 67.89 ± 1.05,53.73 ± 2.28 / 43.48 ± 1.84,33.82 ± 1.58 / 65.14 ± 1.25,66.61 ± 0.56 / 43.40 ± 1.15,30.13 ± 1.82 / 47.03 ± 1.37,29.47 ± 4.04 / 66.02 ± 2.06,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.42,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,47.07 ± 1.13 / 57.10 ± 2.40,46.17 ± 1.98 / 37.88 ± 2.83,37.69 ± 4.19 / 66.41 ± 2.89,71.91 ± 2.64 / 54.97 ± 2.37,42.12 ± 1.04 / 56.50 ± 0.81,26.37 ± 2.09 / 62.53 ± 1.11,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.42,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,48.54 ± 1.52 / 65.65 ± 1.04,54.02 ± 2.63 / 42.79 ± 2.06,31.50 ± 1.53 / 64.36 ± 1.05,69.30 ± 1.24 / 46.15 ± 1.83,35.19 ± 0.88 / 51.30 ± 0.65,33.82 ± 1.27 / 66.91 ± 0.65,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.43,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,42.46 ± 1.79 / 59.34 ± 1.21,71.59 ± 1.45 / 65.84 ± 1.62,6.06 ± 2.58 / 38.97 ± 1.10,57.43 ± 0.90 / 39.49 ± 0.82,53.58 ± 1.59 / 64.57 ± 1.15,37.31 ± 2.84 / 70.62 ± 1.25,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.43,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,41.68 ± 1.72 / 59.83 ± 1.82,61.39 ± 0.71 / 53.87 ± 0.92,29.82 ± 1.71 / 60.60 ± 1.00,58.30 ± 0.86 / 36.85 ± 1.55,53.18 ± 0.85 / 64.80 ± 0.66,27.00 ± 1.40 / 63.52 ± 0.67,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.44,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,49.96 ± 1.17 / 65.11 ± 0.80,40.24 ± 1.70 / 38.18 ± 1.78,19.15 ± 1.89 / 47.88 ± 1.33,33.40 ± 1.29 / 25.71 ± 0.93,66.92 ± 1.33 / 74.57 ± 1.04,57.96 ± 4.14 / 80.70 ± 1.92,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.44,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,47.33 ± 1.19 / 63.42 ± 0.89,72.23 ± 1.19 / 66.90 ± 1.54,13.50 ± 1.89 / 46.61 ± 1.50,50.73 ± 0.84 / 31.89 ± 0.83,57.78 ± 1.71 / 68.67 ± 1.22,24.03 ± 2.32 / 61.25 ± 1.11,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.49,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,50.14 ± 1.22 / 66.18 ± 0.71,46.71 ± 2.01 / 30.18 ± 2.08,36.50 ± 2.94 / 62.05 ± 3.95,66.87 ± 1.17 / 46.99 ± 1.66,37.88 ± 0.83 / 52.17 ± 0.65,21.15 ± 1.16 / 59.46 ± 0.55,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.49,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,50.29 ± 1.39 / 65.03 ± 1.12,53.55 ± 1.39 / 27.89 ± 0.97,50.68 ± 4.54 / 73.39 ± 4.07,27.06 ± 3.58 / 11.54 ± 2.29,43.89 ± 0.77 / 57.63 ± 0.62,29.09 ± 2.27 / 64.40 ± 1.15,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.50,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,47.48 ± 1.20 / 65.03 ± 0.64,55.54 ± 1.81 / 36.33 ± 1.75,38.02 ± 1.69 / 68.45 ± 0.86,25.32 ± 0.73 / 0.04 ± 0.06,59.66 ± 0.87 / 69.66 ± 0.63,33.07 ± 1.76 / 66.55 ± 0.87,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.53,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,49.13 ± 1.52 / 65.67 ± 1.17,57.07 ± 1.94 / 42.80 ± 3.22,25.31 ± 2.03 / 58.32 ± 2.82,62.19 ± 1.07 / 38.71 ± 2.41,38.32 ± 0.36 / 53.45 ± 0.24,22.66 ± 2.44 / 61.24 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.55,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,42.50 ± 1.69 / 60.41 ± 1.48,54.17 ± 1.73 / 43.04 ± 2.24,27.64 ± 1.34 / 59.90 ± 0.78,68.43 ± 1.49 / 48.73 ± 1.39,43.44 ± 0.74 / 57.25 ± 0.55,20.71 ± 2.08 / 60.33 ± 1.03,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.55,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,42.55 ± 0.97 / 61.86 ± 0.66,50.33 ± 2.16 / 46.51 ± 1.55,22.94 ± 1.59 / 60.60 ± 0.86,56.61 ± 0.57 / 39.32 ± 0.70,64.23 ± 0.80 / 72.38 ± 0.62,26.02 ± 2.42 / 62.60 ± 1.31,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.59,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,47.13 ± 1.36 / 64.80 ± 0.85,59.24 ± 1.49 / 48.33 ± 2.40,29.10 ± 1.45 / 62.03 ± 1.21,31.03 ± 1.75 / 0.00 ± 0.00,53.48 ± 1.24 / 65.02 ± 0.94,27.39 ± 1.60 / 63.41 ± 0.79,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/lapa-llm/lapa-v0.1.2-instruct'>lapa-llm/lapa-v0.1.2-instruct</a>,📝,2.61,12187325040.0,262144.0,8192.0,✗,✗,(✓),✗,50.02 ± 1.07 / 66.54 ± 0.71,56.86 ± 1.42 / 39.99 ± 1.32,36.10 ± 1.66 / 67.44 ± 1.08,22.27 ± 1.26 / 0.00 ± 0.00,46.04 ± 1.03 / 59.26 ± 0.74,32.12 ± 1.91 / 66.04 ± 0.98,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.64,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,46.28 ± 1.22 / 63.96 ± 0.97,45.06 ± 2.23 / 33.18 ± 1.27,39.53 ± 5.05 / 66.82 ± 4.12,21.61 ± 2.37 / 9.02 ± 2.72,51.67 ± 0.61 / 63.55 ± 0.38,36.37 ± 2.09 / 68.00 ± 1.15,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.67,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,42.19 ± 1.87 / 56.77 ± 1.29,54.15 ± 1.74 / 47.53 ± 1.01,31.07 ± 3.07 / 65.01 ± 1.64,60.16 ± 1.13 / 38.06 ± 1.39,46.58 ± 1.50 / 59.88 ± 1.09,7.49 ± 4.86 / 53.52 ± 2.17,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.68,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,47.54 ± 1.32 / 65.01 ± 0.98,55.03 ± 1.56 / 24.66 ± 1.16,17.65 ± 1.74 / 54.08 ± 1.90,57.07 ± 0.88 / 30.23 ± 1.88,38.06 ± 0.77 / 53.19 ± 0.61,23.15 ± 1.15 / 61.60 ± 0.58,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
