<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.69,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,42.39 ± 1.94 / 61.18 ± 1.44,49.45 ± 1.84 / 30.68 ± 1.60,27.72 ± 1.79 / 63.37 ± 1.00,66.60 ± 1.04 / 47.81 ± 1.46,37.60 ± 0.82 / 52.82 ± 0.63,15.42 ± 1.64 / 57.62 ± 0.81,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.69,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,47.27 ± 1.63 / 63.83 ± 1.62,45.41 ± 1.61 / 25.47 ± 1.42,22.89 ± 1.71 / 47.59 ± 2.61,64.82 ± 1.39 / 43.61 ± 2.32,40.30 ± 0.90 / 53.72 ± 0.83,20.20 ± 2.13 / 60.08 ± 1.07,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.69,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,49.78 ± 1.34 / 65.10 ± 1.19,54.83 ± 1.51 / 35.97 ± 2.24,35.43 ± 1.58 / 66.34 ± 1.45,27.77 ± 1.41 / 0.07 ± 0.07,36.04 ± 0.88 / 51.85 ± 0.67,28.48 ± 2.18 / 64.20 ± 1.09,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.71,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,42.61 ± 1.17 / 56.87 ± 1.01,56.65 ± 1.30 / 48.28 ± 1.85,18.92 ± 1.96 / 58.23 ± 1.76,69.75 ± 1.49 / 50.70 ± 0.83,37.40 ± 0.64 / 52.90 ± 0.43,11.31 ± 1.23 / 55.70 ± 0.59,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.73,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,45.81 ± 1.59 / 61.83 ± 1.09,53.41 ± 1.15 / 36.53 ± 1.20,19.60 ± 2.83 / 57.88 ± 1.63,49.43 ± 1.36 / 31.71 ± 1.51,42.02 ± 2.00 / 55.39 ± 1.59,21.53 ± 2.31 / 62.50 ± 0.97,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.73,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,25.22 ± 5.21 / 36.86 ± 6.05,55.69 ± 1.91 / 43.72 ± 2.19,21.41 ± 4.32 / 44.38 ± 4.00,70.11 ± 2.04 / 52.06 ± 2.16,39.21 ± 0.68 / 53.18 ± 0.63,24.31 ± 2.53 / 60.00 ± 2.18,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.74,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,49.98 ± 1.55 / 66.55 ± 1.01,32.86 ± 10.21 / 24.23 ± 6.73,47.00 ± 1.18 / 73.12 ± 0.71,18.06 ± 1.23 / 5.96 ± 0.71,50.13 ± 0.72 / 62.36 ± 0.51,29.49 ± 2.05 / 64.69 ± 1.02,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.76,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,54.45 ± 1.53 / 62.24 ± 1.33,50.74 ± 1.44 / 47.13 ± 1.66,11.53 ± 2.36 / 43.60 ± 2.77,61.44 ± 1.22 / 44.67 ± 1.19,39.36 ± 1.25 / 54.22 ± 0.96,8.21 ± 3.19 / 56.72 ± 2.01,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.76,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,48.12 ± 1.25 / 63.66 ± 0.91,61.38 ± 1.07 / 40.80 ± 1.25,16.48 ± 1.49 / 57.61 ± 0.77,58.44 ± 1.30 / 36.15 ± 1.70,24.85 ± 1.99 / 40.82 ± 1.51,14.25 ± 5.67 / 60.78 ± 2.79,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.77,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,13.90 ± 2.67 / 23.12 ± 2.48,49.11 ± 1.95 / 33.99 ± 1.55,36.67 ± 5.14 / 58.95 ± 5.19,69.47 ± 2.44 / 53.53 ± 2.61,41.13 ± 0.55 / 55.06 ± 0.37,18.53 ± 1.24 / 58.08 ± 0.69,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.77,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,35.63 ± 3.68 / 51.09 ± 5.00,50.43 ± 3.19 / 46.20 ± 3.18,27.24 ± 5.72 / 51.17 ± 5.86,66.08 ± 2.17 / 48.35 ± 1.88,34.07 ± 0.88 / 48.07 ± 0.70,11.74 ± 1.75 / 51.54 ± 0.85,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.77,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,43.71 ± 1.09 / 57.32 ± 1.75,47.22 ± 2.19 / 44.73 ± 2.79,13.40 ± 4.26 / 44.24 ± 5.77,67.68 ± 2.93 / 51.56 ± 3.18,38.97 ± 1.19 / 53.89 ± 0.87,15.63 ± 3.30 / 57.55 ± 1.63,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.77,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,46.79 ± 1.33 / 64.27 ± 0.95,50.52 ± 2.13 / 29.90 ± 2.20,20.16 ± 1.72 / 58.99 ± 1.22,62.59 ± 1.07 / 43.30 ± 1.45,32.78 ± 0.83 / 49.42 ± 0.60,13.51 ± 2.24 / 56.17 ± 1.16,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.78,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,30.78 ± 1.71 / 41.31 ± 0.94,55.52 ± 2.65 / 47.39 ± 2.25,6.41 ± 3.33 / 35.72 ± 1.70,72.15 ± 1.88 / 54.65 ± 2.29,28.65 ± 0.76 / 40.96 ± 0.88,34.61 ± 2.64 / 64.40 ± 1.80,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.86,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,29.09 ± 2.42 / 43.34 ± 2.55,56.42 ± 1.31 / 50.74 ± 0.89,0.87 ± 0.87 / 33.90 ± 0.45,68.33 ± 1.01 / 50.67 ± 1.09,51.50 ± 1.18 / 63.40 ± 0.88,17.87 ± 3.24 / 52.50 ± 1.83,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.86,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,18.25 ± 2.29 / 32.86 ± 2.40,61.56 ± 1.34 / 57.96 ± 1.20,0.87 ± 0.87 / 33.90 ± 0.45,68.56 ± 0.82 / 50.29 ± 1.01,54.58 ± 0.98 / 66.17 ± 0.70,19.02 ± 2.53 / 47.73 ± 1.22,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.87,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,43.21 ± 1.34 / 57.39 ± 1.12,50.93 ± 1.78 / 46.99 ± 1.84,14.95 ± 2.42 / 46.17 ± 1.71,70.16 ± 1.51 / 50.38 ± 2.26,25.75 ± 0.81 / 43.74 ± 0.66,10.03 ± 1.94 / 54.82 ± 0.97,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.87,?,?,?,✓,✗,(✓),✓,41.36 ± 1.35 / 60.61 ± 1.23,41.96 ± 2.90 / 28.66 ± 2.83,22.86 ± 3.91 / 55.57 ± 5.50,60.37 ± 1.08 / 35.66 ± 1.94,34.42 ± 1.30 / 50.28 ± 0.97,13.23 ± 2.76 / 55.89 ± 1.36,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.87,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,44.49 ± 1.11 / 50.97 ± 1.33,50.96 ± 2.80 / 41.71 ± 2.54,13.18 ± 2.42 / 50.00 ± 4.55,66.19 ± 1.81 / 47.63 ± 1.43,28.06 ± 1.09 / 45.57 ± 0.92,8.83 ± 2.72 / 53.90 ± 1.51,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.88,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,41.80 ± 1.77 / 58.77 ± 1.94,58.66 ± 1.67 / 47.03 ± 2.36,10.37 ± 1.75 / 45.63 ± 2.99,68.01 ± 1.59 / 51.31 ± 1.94,27.88 ± 1.22 / 45.47 ± 0.94,5.26 ± 1.91 / 52.48 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.89,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,44.34 ± 1.21 / 61.22 ± 1.04,34.59 ± 2.91 / 28.63 ± 2.94,20.15 ± 4.23 / 54.00 ± 5.74,68.12 ± 1.41 / 45.99 ± 2.04,36.52 ± 0.69 / 52.13 ± 0.53,11.63 ± 2.55 / 55.47 ± 1.39,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.90,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,44.81 ± 1.36 / 61.01 ± 1.07,55.63 ± 2.67 / 40.70 ± 2.57,21.47 ± 2.54 / 54.45 ± 2.48,38.24 ± 9.14 / 12.28 ± 9.60,34.66 ± 0.55 / 50.60 ± 0.46,7.81 ± 1.80 / 53.71 ± 0.99,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.91,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,43.18 ± 1.28 / 62.22 ± 0.89,52.38 ± 1.45 / 36.78 ± 1.12,14.19 ± 2.52 / 54.77 ± 2.23,66.05 ± 0.81 / 43.25 ± 1.07,27.64 ± 1.17 / 45.40 ± 0.87,6.90 ± 1.82 / 53.33 ± 0.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.92,?,?,?,✓,✗,(✓),✓,42.18 ± 1.29 / 60.78 ± 0.99,42.02 ± 1.28 / 26.13 ± 1.60,21.62 ± 1.03 / 58.55 ± 1.90,64.50 ± 1.32 / 41.26 ± 2.44,29.55 ± 1.06 / 46.94 ± 0.82,8.04 ± 2.57 / 54.03 ± 1.23,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.93,?,?,400000.0,✓,✗,✗,✓,52.23 ± 0.64 / 66.49 ± 0.59,38.11 ± 1.10 / 18.35 ± 0.65,7.84 ± 2.41 / 53.33 ± 1.12,58.14 ± 0.50 / 26.19 ± 0.73,44.70 ± 1.58 / 58.32 ± 1.20,4.62 ± 2.00 / 51.02 ± 1.15,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.93,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,41.64 ± 1.49 / 61.16 ± 1.03,53.23 ± 1.55 / 40.20 ± 1.20,10.37 ± 1.67 / 53.12 ± 1.22,67.09 ± 0.69 / 47.37 ± 0.50,26.51 ± 0.84 / 44.59 ± 0.62,5.13 ± 2.06 / 52.40 ± 1.02,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.94,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,51.59 ± 3.51 / 62.18 ± 3.43,39.95 ± 2.69 / 29.18 ± 2.57,16.14 ± 3.22 / 52.93 ± 3.29,56.72 ± 1.88 / 31.28 ± 2.80,29.81 ± 2.24 / 46.76 ± 1.85,8.76 ± 4.41 / 50.94 ± 2.78,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.94,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,38.96 ± 1.30 / 59.37 ± 0.89,48.20 ± 1.17 / 32.28 ± 2.38,15.37 ± 1.41 / 56.76 ± 1.02,71.42 ± 1.17 / 56.58 ± 1.31,31.37 ± 0.91 / 48.04 ± 0.69,5.28 ± 1.53 / 52.86 ± 0.80,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.94,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,42.02 ± 1.46 / 59.95 ± 0.98,48.64 ± 1.43 / 39.13 ± 1.74,18.39 ± 1.94 / 58.02 ± 1.22,64.66 ± 0.63 / 42.29 ± 1.36,23.34 ± 1.15 / 42.27 ± 0.86,4.99 ± 3.01 / 51.48 ± 1.56,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.94,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,43.84 ± 1.49 / 60.52 ± 1.02,46.88 ± 1.13 / 32.53 ± 0.94,20.41 ± 1.78 / 58.88 ± 0.77,49.80 ± 1.38 / 27.22 ± 1.61,33.33 ± 1.25 / 49.18 ± 1.17,5.11 ± 3.66 / 51.09 ± 2.32,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.96,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,45.39 ± 1.36 / 62.08 ± 1.04,55.82 ± 2.44 / 48.02 ± 2.36,10.62 ± 2.19 / 41.64 ± 2.31,45.19 ± 5.90 / 16.71 ± 6.07,30.86 ± 0.89 / 47.84 ± 0.65,12.88 ± 2.30 / 56.25 ± 1.17,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.97,?,?,1047576.0,✓,✗,✗,✓,53.31 ± 1.77 / 67.78 ± 1.15,31.38 ± 1.50 / 25.31 ± 1.43,24.88 ± 2.66 / 62.11 ± 1.37,50.85 ± 1.21 / 24.71 ± 1.53,36.36 ± 2.55 / 51.33 ± 1.82,2.62 ± 4.52 / 57.11 ± 2.00,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,3.02,?,128000.0,4096.0,✓,✗,(✓),✓,0.73 ± 1.00 / 16.71 ± 0.26,48.39 ± 1.93 / 39.82 ± 2.61,27.03 ± 5.90 / 51.08 ± 5.75,67.61 ± 1.71 / 50.27 ± 1.99,37.77 ± 0.63 / 53.05 ± 0.48,20.30 ± 2.26 / 60.09 ± 1.10,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,3.02,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,33.44 ± 2.52 / 51.07 ± 1.66,42.33 ± 1.62 / 35.58 ± 1.02,17.79 ± 3.32 / 57.61 ± 1.65,60.86 ± 1.50 / 38.39 ± 1.34,36.12 ± 3.24 / 51.80 ± 2.43,5.85 ± 4.32 / 55.86 ± 1.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.03,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,36.49 ± 2.06 / 56.05 ± 1.24,58.64 ± 1.91 / 50.10 ± 1.94,7.41 ± 2.84 / 44.48 ± 0.88,47.28 ± 0.86 / 30.15 ± 0.99,27.07 ± 2.55 / 44.77 ± 1.96,11.02 ± 2.43 / 55.86 ± 1.24,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,3.05,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,21.98 ± 2.13 / 35.08 ± 1.67,57.93 ± 2.20 / 49.67 ± 2.79,9.05 ± 2.71 / 50.33 ± 3.67,77.08 ± 0.82 / 60.53 ± 1.33,28.21 ± 1.35 / 45.59 ± 1.12,4.32 ± 2.32 / 51.03 ± 1.13,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,3.06,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,40.64 ± 1.75 / 59.86 ± 1.52,48.58 ± 2.28 / 34.45 ± 3.22,14.92 ± 2.92 / 51.31 ± 2.40,57.89 ± 2.78 / 39.31 ± 3.82,23.68 ± 0.56 / 42.17 ± 0.48,3.17 ± 3.16 / 51.27 ± 1.52,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,3.06,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,45.88 ± 1.19 / 63.85 ± 0.79,42.73 ± 2.47 / 27.69 ± 2.97,27.10 ± 3.03 / 57.47 ± 4.17,21.26 ± 0.97 / 0.20 ± 0.27,31.87 ± 1.01 / 48.45 ± 0.76,16.17 ± 2.50 / 56.92 ± 1.33,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,3.06,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,37.88 ± 1.74 / 54.92 ± 1.62,42.57 ± 1.07 / 31.23 ± 1.87,11.70 ± 2.68 / 53.41 ± 2.79,63.22 ± 2.30 / 42.27 ± 3.59,27.97 ± 0.88 / 45.85 ± 0.66,9.90 ± 1.80 / 54.94 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,3.07,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,40.40 ± 1.26 / 60.14 ± 0.82,49.53 ± 1.37 / 41.55 ± 1.70,11.60 ± 1.66 / 52.03 ± 2.14,62.52 ± 1.28 / 40.87 ± 2.07,26.09 ± 1.24 / 44.14 ± 0.96,0.37 ± 1.18 / 49.35 ± 0.69,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,3.07,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,43.53 ± 1.28 / 49.63 ± 2.09,37.25 ± 1.64 / 31.41 ± 1.79,12.27 ± 2.69 / 48.69 ± 4.49,61.66 ± 1.13 / 40.42 ± 3.06,32.10 ± 0.96 / 48.72 ± 0.71,5.33 ± 1.64 / 52.51 ± 1.01,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,3.11,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,51.70 ± 2.13 / 57.60 ± 1.55,41.54 ± 2.43 / 30.03 ± 2.23,4.97 ± 4.64 / 36.95 ± 1.62,60.42 ± 1.07 / 42.41 ± 1.31,26.61 ± 2.38 / 43.79 ± 1.61,-2.78 ± 4.04 / 60.08 ± 2.33,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
