<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,3.12,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,52.82 ± 3.56 / 54.65 ± 2.11,30.92 ± 5.14 / 28.67 ± 5.22,7.38 ± 4.74 / 43.27 ± 4.34,63.83 ± 2.77 / 47.42 ± 2.11,18.19 ± 2.40 / 37.19 ± 1.93,5.94 ± 5.31 / 58.44 ± 4.52,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,3.12,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,52.23 ± 2.15 / 57.68 ± 1.93,41.79 ± 2.36 / 29.44 ± 2.17,4.88 ± 4.55 / 36.93 ± 1.48,58.76 ± 1.39 / 40.69 ± 1.43,24.82 ± 2.32 / 42.42 ± 1.61,-2.01 ± 2.90 / 61.25 ± 1.97,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,3.13,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,38.40 ± 1.70 / 56.65 ± 1.20,41.66 ± 2.16 / 34.14 ± 1.55,6.88 ± 2.10 / 40.34 ± 2.20,67.59 ± 0.84 / 51.46 ± 1.20,35.43 ± 1.44 / 49.41 ± 1.33,-3.73 ± 2.96 / 52.97 ± 1.30,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,3.13,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,36.45 ± 2.27 / 56.67 ± 1.93,40.54 ± 1.85 / 33.24 ± 2.60,0.95 ± 1.07 / 33.39 ± 0.28,64.99 ± 1.57 / 48.83 ± 1.78,29.97 ± 0.95 / 47.12 ± 0.76,12.67 ± 1.03 / 55.79 ± 0.54,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,3.14,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,39.21 ± 1.37 / 58.70 ± 1.01,49.68 ± 1.49 / 28.27 ± 2.46,11.65 ± 1.91 / 42.93 ± 2.24,52.65 ± 1.95 / 35.18 ± 2.54,19.40 ± 1.08 / 39.37 ± 0.80,6.96 ± 1.52 / 53.54 ± 0.72,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,3.14,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,27.83 ± 1.83 / 51.68 ± 1.17,58.57 ± 2.19 / 49.34 ± 3.07,7.30 ± 1.97 / 44.17 ± 1.36,46.60 ± 1.40 / 30.49 ± 1.78,31.21 ± 1.43 / 48.31 ± 1.07,8.12 ± 2.95 / 54.03 ± 1.47,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,3.19,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,45.12 ± 1.59 / 62.60 ± 1.35,47.12 ± 1.31 / 34.52 ± 1.70,23.08 ± 2.21 / 57.92 ± 1.66,18.19 ± 1.03 / 0.85 ± 0.55,28.82 ± 1.17 / 46.14 ± 0.85,6.27 ± 1.82 / 52.87 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.23,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,40.86 ± 1.39 / 59.47 ± 0.94,44.97 ± 2.20 / 31.41 ± 2.26,6.53 ± 2.58 / 50.35 ± 3.60,65.31 ± 0.93 / 43.40 ± 1.02,9.05 ± 0.91 / 31.11 ± 0.74,3.63 ± 2.06 / 50.76 ± 1.35,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,3.26,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,43.17 ± 1.39 / 59.81 ± 1.17,47.38 ± 1.55 / 32.76 ± 2.00,9.46 ± 1.42 / 45.64 ± 3.96,28.20 ± 1.33 / 0.46 ± 0.23,32.30 ± 1.40 / 48.63 ± 1.17,4.58 ± 2.12 / 52.17 ± 1.00,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,3.26,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,39.98 ± 1.36 / 59.59 ± 0.83,37.18 ± 1.55 / 24.34 ± 0.85,11.28 ± 1.62 / 43.76 ± 2.73,56.75 ± 0.87 / 34.89 ± 0.96,21.76 ± 0.84 / 40.85 ± 0.70,0.46 ± 3.05 / 49.82 ± 1.47,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,3.27,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,40.69 ± 1.27 / 59.83 ± 0.85,36.24 ± 1.31 / 23.98 ± 1.23,10.98 ± 2.28 / 45.12 ± 3.56,56.15 ± 1.19 / 36.94 ± 1.48,19.58 ± 0.85 / 39.30 ± 0.67,1.09 ± 2.65 / 49.81 ± 0.94,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,3.33,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,44.27 ± 1.80 / 62.29 ± 1.29,39.90 ± 1.90 / 23.50 ± 2.04,21.74 ± 2.10 / 53.29 ± 2.64,16.43 ± 1.27 / 0.02 ± 0.04,29.60 ± 1.18 / 46.65 ± 1.02,0.37 ± 1.96 / 49.18 ± 0.75,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.36,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,33.49 ± 1.13 / 52.14 ± 1.76,40.62 ± 3.46 / 30.87 ± 3.60,4.01 ± 1.45 / 48.99 ± 2.55,59.40 ± 1.18 / 43.26 ± 1.49,14.08 ± 0.86 / 35.17 ± 0.59,1.22 ± 1.83 / 49.83 ± 1.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.38,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,14.42 ± 2.20 / 22.45 ± 1.42,45.88 ± 2.72 / 34.58 ± 1.78,1.54 ± 1.04 / 34.00 ± 0.49,61.97 ± 0.72 / 44.24 ± 1.11,18.20 ± 1.45 / 27.27 ± 1.22,8.83 ± 2.66 / 63.98 ± 1.02,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.40,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,33.48 ± 2.15 / 46.70 ± 3.45,40.62 ± 3.66 / 31.25 ± 4.39,2.14 ± 1.85 / 35.59 ± 1.03,56.06 ± 1.31 / 40.14 ± 1.58,13.29 ± 1.49 / 34.39 ± 1.08,-0.48 ± 3.04 / 49.76 ± 0.94,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.48,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,36.80 ± 1.43 / 50.81 ± 1.70,41.31 ± 1.99 / 32.52 ± 1.79,8.16 ± 2.29 / 39.45 ± 1.56,39.85 ± 1.06 / 17.19 ± 1.39,8.86 ± 1.02 / 34.38 ± 1.15,-0.13 ± 2.58 / 38.67 ± 1.32,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,3.50,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,34.18 ± 3.42 / 52.61 ± 2.51,27.93 ± 1.85 / 22.15 ± 2.32,10.35 ± 5.02 / 50.33 ± 3.65,51.63 ± 0.86 / 32.61 ± 1.84,9.12 ± 3.21 / 30.35 ± 2.76,-1.25 ± 3.51 / 53.20 ± 2.44,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.52,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,28.74 ± 1.68 / 48.77 ± 1.90,44.19 ± 1.99 / 36.92 ± 1.90,3.64 ± 1.34 / 41.21 ± 3.73,41.72 ± 4.69 / 26.97 ± 2.93,9.05 ± 1.53 / 30.85 ± 1.21,3.33 ± 1.32 / 51.66 ± 0.78,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.54,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,26.62 ± 1.44 / 49.52 ± 1.56,40.11 ± 1.67 / 34.43 ± 1.71,4.04 ± 1.90 / 51.23 ± 1.27,46.49 ± 1.54 / 27.09 ± 1.82,8.04 ± 0.88 / 30.67 ± 0.74,3.65 ± 1.88 / 52.06 ± 0.96,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.57,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,38.43 ± 1.27 / 56.82 ± 1.09,45.37 ± 2.96 / 34.37 ± 3.72,4.77 ± 3.40 / 41.10 ± 5.54,16.70 ± 1.07 / 0.02 ± 0.04,13.67 ± 1.78 / 33.71 ± 1.80,1.69 ± 2.64 / 50.23 ± 1.27,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.59,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,26.00 ± 1.63 / 49.12 ± 1.88,40.95 ± 1.21 / 34.19 ± 1.69,3.94 ± 1.88 / 51.21 ± 1.31,44.38 ± 1.20 / 23.26 ± 1.77,7.11 ± 1.15 / 30.03 ± 0.93,1.14 ± 3.15 / 50.78 ± 1.56,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.61,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,28.30 ± 4.17 / 46.83 ± 5.49,49.60 ± 1.82 / 32.89 ± 2.19,4.64 ± 1.98 / 39.77 ± 4.58,14.57 ± 0.89 / 0.09 ± 0.07,13.32 ± 1.31 / 34.78 ± 1.11,3.23 ± 2.42 / 51.41 ± 1.18,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.65,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,27.57 ± 1.48 / 48.99 ± 1.57,43.60 ± 2.09 / 39.27 ± 2.03,6.70 ± 2.03 / 52.08 ± 1.52,23.84 ± 0.69 / 1.00 ± 0.28,10.52 ± 1.02 / 32.29 ± 0.78,-0.39 ± 2.88 / 49.34 ± 0.96,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.65,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,22.01 ± 3.16 / 36.68 ± 4.59,36.07 ± 2.02 / 31.54 ± 2.00,0.54 ± 1.24 / 46.36 ± 1.91,45.20 ± 1.59 / 28.29 ± 2.01,5.88 ± 1.31 / 29.10 ± 0.96,4.04 ± 2.43 / 52.24 ± 1.17,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.67,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,2.39 ± 1.03 / 16.91 ± 0.44,43.32 ± 2.91 / 40.34 ± 3.03,0.00 ± 0.00 / 33.30 ± 0.27,62.66 ± 1.44 / 45.46 ± 1.12,10.09 ± 0.92 / 26.76 ± 0.57,0.80 ± 1.95 / 49.18 ± 0.78,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.67,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,31.25 ± 1.69 / 51.71 ± 1.07,35.42 ± 2.19 / 17.25 ± 0.84,5.44 ± 1.13 / 52.15 ± 0.71,21.80 ± 0.63 / 0.33 ± 0.11,12.65 ± 0.80 / 34.15 ± 0.68,3.50 ± 2.14 / 51.78 ± 1.14,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,3.67,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,25.35 ± 2.17 / 49.00 ± 1.57,47.44 ± 2.17 / 42.84 ± 2.16,1.82 ± 2.81 / 46.46 ± 1.30,8.04 ± 1.28 / 3.54 ± 0.76,22.35 ± 2.64 / 40.47 ± 2.01,4.16 ± 4.99 / 53.28 ± 2.26,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,3.69,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,29.26 ± 1.26 / 51.90 ± 0.91,31.36 ± 2.26 / 24.34 ± 2.83,1.88 ± 1.48 / 41.82 ± 3.62,40.10 ± 1.91 / 27.87 ± 1.79,11.14 ± 0.85 / 32.68 ± 0.62,1.69 ± 1.30 / 49.62 ± 0.84,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.69,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,35.00 ± 2.40 / 55.15 ± 2.39,21.49 ± 2.35 / 17.96 ± 1.62,10.42 ± 2.20 / 50.56 ± 1.59,17.44 ± 0.52 / 0.04 ± 0.06,16.04 ± 1.15 / 36.39 ± 0.90,9.36 ± 0.98 / 53.47 ± 0.67,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.70,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,33.34 ± 1.93 / 53.89 ± 1.42,37.45 ± 2.17 / 27.60 ± 2.21,5.95 ± 1.82 / 52.42 ± 0.82,25.06 ± 0.61 / 0.00 ± 0.00,0.00 ± 0.00 / 18.01 ± 0.98,0.00 ± 0.00 / 63.28 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.71,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,29.74 ± 2.23 / 52.18 ± 1.52,41.38 ± 2.01 / 30.70 ± 1.66,4.43 ± 3.05 / 52.01 ± 1.55,25.62 ± 0.88 / 0.00 ± 0.00,-0.09 ± 0.12 / 18.01 ± 0.98,0.00 ± 0.00 / 63.28 ± 1.13,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.76,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,17.01 ± 3.41 / 35.37 ± 2.70,35.64 ± 2.58 / 32.18 ± 2.52,-0.30 ± 0.59 / 33.29 ± 0.26,48.49 ± 1.39 / 34.08 ± 1.33,2.44 ± 1.06 / 24.91 ± 0.57,0.00 ± 0.00 / 49.12 ± 0.75,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.77,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,17.50 ± 1.99 / 40.32 ± 1.15,42.90 ± 1.94 / 38.98 ± 1.85,15.97 ± 2.27 / 56.27 ± 1.31,7.08 ± 0.94 / 0.65 ± 0.25,5.82 ± 1.79 / 19.49 ± 0.85,2.43 ± 3.61 / 62.89 ± 1.35,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.78,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,9.43 ± 2.58 / 19.97 ± 2.35,50.38 ± 1.74 / 26.28 ± 1.70,4.70 ± 2.01 / 38.49 ± 3.85,23.61 ± 2.15 / 8.08 ± 2.69,8.06 ± 1.08 / 28.75 ± 0.78,0.19 ± 1.22 / 49.14 ± 0.73,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.80,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,24.42 ± 1.25 / 45.45 ± 1.06,34.55 ± 1.34 / 22.29 ± 1.34,6.96 ± 2.14 / 46.04 ± 2.78,16.80 ± 0.84 / 0.17 ± 0.09,10.08 ± 1.16 / 30.94 ± 0.74,3.76 ± 2.42 / 51.09 ± 1.04,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.82,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,5.43 ± 1.39 / 35.31 ± 0.90,25.39 ± 2.30 / 20.59 ± 1.69,2.92 ± 4.81 / 50.23 ± 2.29,55.39 ± 1.12 / 33.32 ± 1.55,8.36 ± 1.74 / 30.82 ± 1.43,0.17 ± 3.36 / 54.14 ± 1.89,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.82,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,22.56 ± 1.75 / 45.22 ± 1.91,40.83 ± 1.56 / 33.37 ± 2.42,2.38 ± 1.50 / 45.83 ± 1.69,15.00 ± 1.49 / 3.51 ± 1.36,7.63 ± 0.84 / 29.60 ± 0.64,0.18 ± 2.04 / 50.35 ± 1.15,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.86,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,5.24 ± 2.43 / 18.64 ± 1.43,37.20 ± 1.41 / 25.33 ± 0.83,1.01 ± 1.82 / 38.01 ± 3.75,39.40 ± 1.39 / 25.98 ± 2.27,7.67 ± 0.83 / 30.40 ± 0.57,3.17 ± 2.11 / 51.62 ± 1.05,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.88,751632384.0,151936.0,40960.0,✓,✗,✗,✓,23.31 ± 1.57 / 36.07 ± 2.78,28.86 ± 1.27 / 21.48 ± 1.97,-0.13 ± 1.52 / 41.67 ± 4.26,29.88 ± 1.60 / 11.83 ± 1.79,5.45 ± 1.19 / 28.33 ± 1.16,0.90 ± 1.71 / 49.64 ± 0.58,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.89,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,24.89 ± 2.38 / 35.72 ± 3.44,20.81 ± 3.55 / 20.74 ± 3.73,-0.22 ± 1.54 / 41.43 ± 2.58,42.76 ± 1.37 / 26.59 ± 1.80,-0.40 ± 0.81 / 24.12 ± 0.48,-1.20 ± 2.31 / 49.13 ± 0.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.90,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,0.00 ± 0.00 / 13.20 ± 0.28,27.68 ± 1.44 / 23.46 ± 1.14,0.00 ± 0.00 / 33.74 ± 0.46,51.96 ± 1.08 / 35.11 ± 1.09,12.60 ± 0.87 / 28.79 ± 0.91,0.74 ± 3.77 / 47.58 ± 1.90,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.94,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,6.07 ± 3.81 / 20.86 ± 3.42,39.71 ± 0.93 / 28.37 ± 1.46,0.47 ± 1.42 / 33.55 ± 0.37,18.32 ± 0.64 / 1.28 ± 0.26,10.08 ± 1.23 / 32.37 ± 0.84,4.08 ± 2.18 / 50.70 ± 1.13,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
