<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/ukrainian#cross-domain-uk-reviews'>cross_domain_uk_reviews</a>,<a href='https://euroeval.com/datasets/ukrainian#ner-uk'>ner_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#scala-uk'>scala_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#multi-wiki-qa-uk'>multi_wiki_qa_uk</a>,cross_domain_uk_reviews_version,ner_uk_version,scala_uk_version,multi_wiki_qa_uk_version
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.34,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,61.25 ± 2.06 / 71.08 ± 2.66,67.02 ± 1.72 / 55.03 ± 2.93,43.24 ± 1.44 / 70.92 ± 1.01,69.59 ± 1.56 / 46.92 ± 0.65,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.37,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.28 ± 2.49 / 69.05 ± 3.29,67.01 ± 2.69 / 62.07 ± 2.89,40.52 ± 1.98 / 69.25 ± 1.60,69.97 ± 1.81 / 47.13 ± 1.80,16.5.0.dev0,16.4.0.dev0,16.5.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.41,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,60.47 ± 1.70 / 71.33 ± 1.79,70.82 ± 1.24 / 56.92 ± 3.93,42.72 ± 1.85 / 70.54 ± 1.21,62.82 ± 1.57 / 36.61 ± 1.53,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.41,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,59.07 ± 2.26 / 67.13 ± 3.30,69.76 ± 1.63 / 63.06 ± 3.24,40.85 ± 1.95 / 69.14 ± 0.96,66.13 ± 2.70 / 45.10 ± 2.50,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.41,?,?,400000.0,✓,✗,✗,✓,58.67 ± 0.89 / 61.88 ± 0.77,81.93 ± 1.14 / 71.84 ± 1.47,38.89 ± 1.98 / 65.83 ± 1.03,59.08 ± 0.38 / 31.92 ± 0.43,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.42,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,61.11 ± 1.01 / 67.66 ± 0.85,76.41 ± 1.97 / 71.52 ± 1.89,37.84 ± 1.83 / 67.58 ± 1.15,62.60 ± 0.73 / 34.33 ± 0.72,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.42,?,256128.0,1048576.0,✓,✗,✗,✓,59.49 ± 0.77 / 64.30 ± 0.59,67.18 ± 1.49 / 49.30 ± 1.05,52.39 ± 0.76 / 76.12 ± 0.37,54.68 ± 0.49 / 26.24 ± 0.56,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.43,?,256128.0,1048576.0,✓,✗,✗,✓,63.25 ± 1.59 / 66.92 ± 1.45,70.98 ± 2.65 / 60.99 ± 2.00,45.30 ± 2.28 / 72.54 ± 1.14,56.04 ± 0.86 / 29.55 ± 1.10,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.44,?,?,400000.0,✓,✗,✗,✓,58.94 ± 0.85 / 60.66 ± 0.62,83.05 ± 1.29 / 72.74 ± 1.82,38.46 ± 1.56 / 67.26 ± 0.77,56.51 ± 0.36 / 29.14 ± 0.50,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.45,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.78 ± 2.19 / 70.50 ± 2.73,64.92 ± 1.64 / 54.65 ± 3.20,45.24 ± 2.17 / 72.38 ± 1.11,64.58 ± 1.79 / 39.10 ± 1.66,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.45,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,59.16 ± 1.07 / 70.30 ± 0.91,62.86 ± 2.01 / 57.61 ± 3.02,41.67 ± 1.89 / 69.19 ± 1.16,71.57 ± 1.17 / 50.13 ± 1.31,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.45,?,256128.0,1048576.0,✓,✗,✗,✓,58.30 ± 1.82 / 60.01 ± 1.41,67.97 ± 3.32 / 50.23 ± 2.67,46.76 ± 4.74 / 73.33 ± 2.40,59.37 ± 1.15 / 34.14 ± 1.04,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.46,?,100256.0,272000.0,✓,✗,✗,✓,59.50 ± 1.67 / 61.09 ± 1.38,81.68 ± 1.59 / 67.96 ± 1.85,39.42 ± 3.88 / 68.79 ± 2.05,53.73 ± 0.85 / 30.01 ± 1.05,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.47,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,58.71 ± 1.49 / 62.97 ± 1.43,66.71 ± 1.97 / 61.70 ± 2.32,37.23 ± 1.91 / 68.03 ± 1.14,70.00 ± 1.03 / 46.58 ± 0.94,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.47,?,?,400000.0,✓,✗,✗,✓,57.83 ± 0.87 / 59.85 ± 0.74,71.86 ± 1.83 / 60.08 ± 1.94,42.52 ± 1.12 / 67.05 ± 0.64,58.77 ± 0.40 / 30.65 ± 0.60,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.48,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,59.43 ± 2.96 / 65.84 ± 4.40,69.68 ± 1.71 / 64.16 ± 2.96,34.34 ± 4.66 / 64.21 ± 3.81,70.38 ± 2.81 / 49.68 ± 2.70,16.5.0.dev0,16.4.0.dev0,16.5.0.dev0,16.4.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.50,?,?,200000.0,✓,✗,✗,✓,61.09 ± 2.18 / 64.48 ± 1.84,80.64 ± 1.84 / 75.40 ± 2.30,32.84 ± 4.17 / 63.58 ± 2.06,58.88 ± 0.84 / 32.63 ± 1.02,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.51,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.78 ± 1.01 / 62.29 ± 1.06,67.26 ± 2.21 / 64.78 ± 2.31,35.49 ± 1.93 / 65.03 ± 1.18,70.47 ± 1.76 / 50.63 ± 1.71,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.51,?,256128.0,1048576.0,✓,✗,✗,✓,58.43 ± 1.92 / 61.68 ± 1.49,66.90 ± 3.46 / 48.67 ± 2.52,45.21 ± 2.96 / 72.35 ± 1.52,57.80 ± 0.86 / 31.15 ± 0.89,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.52,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,56.21 ± 1.31 / 59.51 ± 2.51,70.25 ± 1.91 / 65.22 ± 3.19,35.95 ± 3.40 / 65.28 ± 3.61,68.94 ± 1.84 / 46.42 ± 2.16,16.5.0.dev0,16.4.0.dev0,16.5.0.dev0,16.4.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.52,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.50 ± 1.28 / 72.81 ± 1.34,71.16 ± 1.24 / 56.81 ± 2.73,41.33 ± 1.60 / 69.75 ± 1.26,52.92 ± 1.46 / 24.71 ± 1.44,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.55,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,63.38 ± 1.60 / 74.64 ± 1.71,55.64 ± 1.74 / 40.75 ± 3.07,44.58 ± 1.39 / 72.10 ± 0.79,62.75 ± 1.62 / 35.25 ± 1.85,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.55,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,60.63 ± 1.28 / 68.47 ± 0.93,73.19 ± 1.92 / 71.87 ± 1.91,34.38 ± 1.33 / 64.64 ± 0.94,58.85 ± 0.33 / 31.63 ± 0.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.56,?,256128.0,1048576.0,✓,✗,✗,✓,58.00 ± 1.67 / 61.15 ± 1.52,66.80 ± 2.99 / 45.24 ± 1.59,42.24 ± 4.29 / 69.93 ± 2.21,55.49 ± 1.16 / 33.12 ± 1.04,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.56,?,?,?,✓,✗,✗,✓,60.54 ± 0.97 / 66.31 ± 0.75,65.14 ± 1.42 / 56.59 ± 1.59,43.79 ± 1.48 / 71.39 ± 0.73,55.55 ± 0.40 / 27.88 ± 0.58,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.56,?,?,?,✓,✗,✗,✓,55.43 ± 2.47 / 60.05 ± 1.96,61.53 ± 3.54 / 48.37 ± 2.17,45.83 ± 2.63 / 69.71 ± 1.59,59.40 ± 1.16 / 30.72 ± 1.09,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.57,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,62.26 ± 1.54 / 71.78 ± 1.63,67.71 ± 1.52 / 53.69 ± 3.34,39.59 ± 1.19 / 68.76 ± 0.97,56.90 ± 1.03 / 28.92 ± 1.22,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.57,?,256128.0,1048576.0,✓,✗,✗,✓,60.34 ± 1.72 / 65.55 ± 1.27,75.70 ± 0.94 / 58.19 ± 1.47,35.92 ± 3.80 / 67.89 ± 1.92,52.94 ± 0.86 / 23.60 ± 0.74,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.57,?,?,400000.0,✓,✗,✗,✓,60.30 ± 0.67 / 65.47 ± 0.58,55.20 ± 1.43 / 29.01 ± 1.03,48.91 ± 1.51 / 73.09 ± 0.75,60.19 ± 0.32 / 34.28 ± 0.45,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.58,?,?,131072.0,✓,✗,✗,✓,61.12 ± 0.88 / 64.32 ± 0.62,68.85 ± 1.17 / 59.76 ± 1.52,37.63 ± 1.36 / 65.90 ± 0.59,57.15 ± 0.31 / 33.47 ± 0.41,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.59,?,100256.0,272000.0,✓,✗,✗,✓,55.68 ± 1.68 / 60.84 ± 1.21,72.35 ± 3.15 / 64.44 ± 3.40,38.28 ± 4.16 / 68.16 ± 2.13,57.88 ± 1.13 / 28.86 ± 1.81,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.59,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,60.58 ± 1.47 / 71.90 ± 1.52,57.57 ± 2.22 / 50.52 ± 2.75,41.23 ± 1.34 / 69.06 ± 0.95,64.15 ± 1.15 / 37.96 ± 1.45,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.60,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.10 ± 1.65 / 72.62 ± 1.80,58.70 ± 1.66 / 50.41 ± 2.41,40.29 ± 2.31 / 68.23 ± 1.63,58.39 ± 1.12 / 30.82 ± 1.22,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.62,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,59.77 ± 1.53 / 71.22 ± 1.32,52.50 ± 2.43 / 39.79 ± 2.27,43.85 ± 1.55 / 70.38 ± 0.84,63.85 ± 0.89 / 41.48 ± 1.08,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.64,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,63.02 ± 2.03 / 73.48 ± 2.08,68.71 ± 1.40 / 56.45 ± 3.48,34.65 ± 1.99 / 64.04 ± 2.14,56.58 ± 1.09 / 27.69 ± 1.04,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.64,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,59.59 ± 1.51 / 71.92 ± 1.16,60.34 ± 1.84 / 42.28 ± 2.17,38.64 ± 1.99 / 67.86 ± 1.05,61.13 ± 0.81 / 39.46 ± 0.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.65,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,63.71 ± 1.91 / 74.85 ± 1.92,60.84 ± 2.53 / 40.13 ± 2.71,38.12 ± 2.28 / 67.57 ± 1.65,56.96 ± 0.75 / 30.17 ± 1.33,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.66,?,256128.0,1048576.0,✓,✗,✗,✓,60.56 ± 1.48 / 65.57 ± 1.13,70.20 ± 1.73 / 56.13 ± 1.91,33.40 ± 2.41 / 63.99 ± 1.33,53.66 ± 0.97 / 24.11 ± 0.63,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.67,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,58.61 ± 1.22 / 66.86 ± 0.89,72.38 ± 1.23 / 68.36 ± 1.24,30.38 ± 1.43 / 56.41 ± 1.60,58.59 ± 0.58 / 33.86 ± 0.71,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.67,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,61.67 ± 1.18 / 72.50 ± 1.41,54.61 ± 1.99 / 42.62 ± 2.66,35.49 ± 1.66 / 63.74 ± 1.28,67.41 ± 0.91 / 41.79 ± 1.15,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.68,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,61.29 ± 3.01 / 72.88 ± 2.35,51.30 ± 3.67 / 43.85 ± 4.11,41.53 ± 3.99 / 70.02 ± 2.23,62.54 ± 1.93 / 38.34 ± 2.33,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.71,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,65.19 ± 1.68 / 73.59 ± 2.23,55.61 ± 1.76 / 42.60 ± 4.36,29.43 ± 3.12 / 61.19 ± 2.69,67.10 ± 3.09 / 47.42 ± 2.95,16.5.0.dev0,16.4.0.dev0,16.5.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.71,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,54.28 ± 1.38 / 60.19 ± 1.71,79.05 ± 1.11 / 73.10 ± 1.99,29.12 ± 2.54 / 58.23 ± 2.54,53.45 ± 1.28 / 30.89 ± 2.35,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.72,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,57.41 ± 0.90 / 58.68 ± 1.10,65.32 ± 2.10 / 62.19 ± 2.49,30.29 ± 2.90 / 57.52 ± 2.52,64.85 ± 1.70 / 43.51 ± 1.64,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.74,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,62.26 ± 1.37 / 73.58 ± 1.41,54.36 ± 1.68 / 46.97 ± 2.48,35.13 ± 1.23 / 65.42 ± 0.87,61.50 ± 0.95 / 36.62 ± 1.83,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.75,?,256128.0,1048576.0,✓,✗,✗,✓,59.82 ± 1.62 / 65.90 ± 1.07,63.86 ± 3.09 / 51.72 ± 2.37,35.22 ± 2.04 / 67.45 ± 1.02,53.66 ± 0.97 / 24.11 ± 0.63,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
